ID,Artist,Name Modifier,First Name,Last Name,Full Name,Hammer price,Price Bracket (millions),Average Price,Given Artwork Title,Scrubbed Artwork Title,Date Created,Sale Info,Day,Month,Date Sold,Auction House,City,location,Citation
1,QI Baishi,,Baishi,Qi,Baishi Qi,"$57,202,000.00 ",+50,"$17,743,723.03 ",Eagle Standing on Pine Tree; Four-Character Couplet in Seal Script (1946),Eagle Standing on Pine Tree; Four-Character Couplet in Seal Script,1946,22 may (China Guardian BEIJING),22,May,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Eagle Standing on Pine Tree; Four-Character Couplet in Seal Script (1946), sold at (China Guardian Beijing) for $57202000"
2,STILL Clyfford E.,,Clyfford E.,Still,Clyfford E. Still,"$55,000,000.00 ",+50,"$17,743,723.03 ",1949-A-No . 1 (1949),1949-A-No . 1,1949,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Clyfford E. Still, 1949-A-No . 1 (1949), sold at (Sotheby's NY) for $55000000"
3,WANG Meng,,Meng,Wang,Meng Wang,"$54,040,000.00 ",+50,"$17,743,723.03 ",Zhi Chuan moving to Mountain,Zhi Chuan moving to Mountain,n/a,04 june (Poly International BEIJING),04,June,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Meng Wang, Zhi Chuan moving to Mountain (n/a), sold at (Poly International BEIJING) for $54040000"
4,LICHTENSTEIN Roy,,Roy,Lichtenstein,Roy Lichtenstein,"$38,500,000.00 ",30-40,"$17,743,723.03 ",I Can See the Whole Room!...and [...] (1961),I Can See the Whole Room!...and [...],1961,08 november (Christie's NY),08,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Roy Lichtenstein, I Can See the Whole Room!...and [...] (1961), sold at (Christie's NY) for $38500000"
5,GUARDI Francesco,,Francesco,Guardi,Francesco Guardi,"$38,256,120.00 ",30-40,"$17,743,723.03 ","Venice, a View of the Rialto Bridge, Looking [...] (1760)","Venice, a View of the Rialto Bridge, Looking [...]",1760,06 july (Sotheby's LONDON),06,July,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Francesco Guardi, Venice, a View of the Rialto Bridge, Looking [...] (1760), sold at (Sotheby's LONDON) for $38256120"
6,XU Beihong,,Beihong,Xu,Beihong Xu,"$36,679,200.00 ",30-40,"$17,743,723.03 ",Cultivation on the peaceful land (1951),Cultivation on the peaceful land,1951,05 december (Poly International BEIJING),05,December,2011,(Poly International BEIJING),Beijing,"39.907288, 116.399519","Beihong Xu, Cultivation on the peaceful land (1951), sold at (Poly International BEIJING) for $36679200"
7,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$36,274,500.00 ",30-40,"$17,743,723.03 ",La lecture (1932),La lecture,1932,08 february (Sotheby's LONDON),08,February,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Pablo Picasso, La lecture (1932), sold at (Sotheby's LONDON) for $36274500"
8,KLIMT Gustav,,Gustav,Klimt,Gustav Klimt,"$36,000,000.00 ",30-40,"$17,743,723.03 ",Litzlberg Am Attersee (1914),Litzlberg Am Attersee,1914,02 november (Sotheby's NY),02,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Gustav Klimt, Litzlberg Am Attersee (1914), sold at (Sotheby's NY) for $36000000"
9,SCHIELE Egon,,Egon,Schiele,Egon Schiele,"$35,681,800.00 ",30-40,"$17,743,723.03 ",Häuser mit bunter wäsche (Vordatdt II) [...] (1914),Häuser mit bunter wäsche (Vordatdt II) [...],1914,22 june (Sotheby's LONDON),22,June,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Egon Schiele, Häuser mit bunter wäsche (Vordatdt II) [...] (1914), sold at (Sotheby's LONDON) for $35681800"
10,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$34,250,000.00 ",30-40,"$17,743,723.03 ",Self-Portrait (1963),Self-Portrait,1963,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Self-Portrait (1963), sold at (Christie's NY) for $34250000"
11,BACON Francis,,Francis,Bacon,Francis Bacon,"$32,957,850.00 ",30-40,"$17,743,723.03 ",Three studies for portrait of Lucian Freud (1969),Three studies for portrait of Lucian Freud,1969,10 february (Sotheby's LONDON),10,February,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Francis Bacon, Three studies for portrait of Lucian Freud (1969), sold at (Sotheby's LONDON) for $32957850"
12,STUBBS George,,George,Stubbs,George Stubbs,"$32,158,000.00 ",30-40,"$17,743,723.03 ","Gimcrack on Newmarket Heath, with a trainer […] (1765)","Gimcrack on Newmarket Heath, with a trainer […]",1765,05 july (Christie's LONDON),05,July,2011,(Christie's LONDON),London,"51.498382, -0.126210","George Stubbs, Gimcrack on Newmarket Heath, with a trainer […] (1765), sold at (Christie's LONDON) for $32158000"
13,FU Baoshi,,Baoshi,Fu,Baoshi Fu,"$31,520,000.00 ",30-40,"$17,743,723.03 ",Landscapes (1964),Landscapes,1964,17 november (Beijing Hanhai Art BEIJING),17,November,2011,(Beijing Hanhai Art BEIJING),Beijing,"39.907288, 116.399519","Baoshi Fu, Landscapes (1964), sold at (Beijing Hanhai Art BEIJING) for $31520000"
14,ROTHKO Mark,,Mark,Rothko,Mark Rothko,"$30,000,000.00 ",20-30,"$17,743,723.03 ",Untitled No. 17 (1961),Untitled No. 17,1961,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"51.498382, -0.126210","Mark Rothko, Untitled No. 17 (1961), sold at (Christie's NY) for $30000000"
15,STILL Clyfford E.,,Clyfford E.,Still,Clyfford E. Still,"$28,000,000.00 ",20-30,"$17,743,723.03 ",1947-Y-No. 2 (1947),1947-Y-No. 2,1947,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Clyfford E. Still, 1947-Y-No. 2 (1947), sold at (Sotheby's NY) for $28000000"
16,QI Baishi,,Baishi,Qi,Baishi Qi,"$26,786,500.00 ",20-30,"$17,743,723.03 ",Landscape (1931),Landscape,1931,13 november (China Guardian BEIJING),13,November,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Baishi Qi, Landscape (1931), sold at (China Guardian BEIJING) for $26786500"
17,ALMA-TADEMA Lawrence,,Lawrence,Alma-Tadema,Lawrence Alma-Tadema,"$26,000,000.00 ",20-30,"$17,743,723.03 ",The Meeting of Antony and Cleopatra: 41 BC (1885),The Meeting of Antony and Cleopatra: 41 BC,1885,05 may (Sotheby's NY),05,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Lawrence Alma-Tadema, The Meeting of Antony and Cleopatra: 41 BC (1885), sold at (Sotheby's NY) for $26000000"
18,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$25,872,000.00 ",20-30,"$17,743,723.03 ","Femme assise, robe bleue (1939)","Femme assise, robe bleue",1939,21 june (Christie's LONDON),21,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Pablo Picasso, Femme assise, robe bleue (1939), sold at (Christie's LONDON) for $25872000"
19,BACON Francis,,Francis,Bacon,Francis Bacon,"$25,536,000.00 ",20-30,"$17,743,723.03 ",Study for a portrait (1953),Study for a portrait,1953,28 june (Christie's LONDON),28,June,2011,(Christie's LONDON),London,"48.856374, 2.349635","Francis Bacon, Study for a portrait (1953), sold at (Christie's LONDON) for $25536000"
20,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$24,500,000.00 ",20-30,"$17,743,723.03 ",Self-Portrait (1986),Self-Portrait,1986,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Self-Portrait (1986), sold at (Christie's NY) for $24500000"
21,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$24,000,000.00 ",20-30,"$17,743,723.03 ",Liz #5 (Early Colored Liz) (1963),Liz #5 (Early Colored Liz),1963,12 may (Phillips de Pury & Co NY),12,May,2011,(Phillips de Pury & Co NY),New York,"40.712592, -74.006542","Andy Warhol, Liz #5 (Early Colored Liz) (1963), sold at (Phillips de Pury & Co NY) for $24000000"
22,TANG Yin,,Yin,Tang,Yin Tang,"$23,145,000.00 ",20-30,"$17,743,723.03 ",Landscape,Landscape,n/a,09 june (Beijing Jiuge International),09,June,2011,(Beijing Jiuge International),Beijing,"39.907288, 116.399519","Yin Tang, Landscape (n/a), sold at (Beijing Jiuge International) for $23145000"
23,REN Yi,,Yi,Ren,Yi Ren,"$22,533,000.00 ",20-30,"$17,743,723.03 ",Huafeng People's Wishes to Emperor Yao,Huafeng People's Wishes to Emperor Yao,n/a,16 july (Xiling Yinshe Auction HANGZHOU),16,July,2011,(Xiling Yinshe Auction HANGZHOU),Hangzhou,"30.277995, 120.151978","Yi Ren, Huafeng People's Wishes to Emperor Yao (n/a), sold at (Xiling Yinshe Auction HANGZHOU) for $22533000"
24,BACON Francis,,Francis,Bacon,Francis Bacon,"$22,500,000.00 ",20-30,"$17,743,723.03 ",Studies for Self-Portrait (1974),Studies for Self-Portrait,1974,11 may (Christie's NY),11,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Francis Bacon, Studies for Self-Portrait (1974), sold at (Christie's NY) for $22500000"
25,ZHANG Daqian,,Daqian,Zhang,Daqian Zhang,"$21,845,000.00 ",20-30,"$17,743,723.03 ",Lotus and Mandarin Ducks (1947),Lotus and Mandarin Ducks,1947,31 may (Sotheby's HK),31,May,2011,(Sotheby's HK),Hong Kong,"22.283970, 114.160031","Daqian Zhang, Lotus and Mandarin Ducks (1947), sold at (Sotheby's HK) for $21845000"
26,XU Beihong,,Beihong,Xu,Beihong Xu,"$20,596,270.00 ",20-30,"$17,743,723.03 ",Figure,Figure,n/a,10 june (Beijing Jiuge International),10,June,2011,(Beijing Jiuge International),Beijing,"39.907288, 116.399519","Beihong Xu, Figure (n/a), sold at (Beijing Jiuge International) for $20596270"
27,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$20,500,000.00 ",20-30,"$17,743,723.03 ",L'aubade (1967),L'aubade,1967,02 november (Sotheby's NY),02,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Pablo Picasso, L'aubade (1967), sold at (Sotheby's NY) for $20500000"
28,MONET Claude,,Claude,Monet,Claude Monet,"$20,000,000.00 ",10-20,"$17,743,723.03 ",Les Peupliers (1891),Les Peupliers,1891,04 may (Christie's NY),04,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Claude Monet, Les Peupliers (1891), sold at (Christie's NY) for $20000000"
29,VLAMINCK Maurice de,,Maurice De,Vlaminck,Maurice De Vlaminck,"$20,000,000.00 ",10-20,"$17,743,723.03 ",Paysage de banlieue (1905),Paysage de banlieue,1905,04 may (Christie's NY),04,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Maurice De Vlaminck, Paysage de banlieue (1905), sold at (Christie's NY) for $20000000"
30,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$19,404,000.00 ",10-20,"$17,743,723.03 ",Jeune fille endormie (1935),Jeune fille endormie,1935,21 june (Christie's LONDON),21,June,2011,(Christie's LONDON),London,"51.498382, -0.126210","Pablo Picasso, Jeune fille endormie (1935), sold at (Christie's LONDON) for $19404000"
31,DALI Salvador,,Salvador,Dali,Salvador Dali,"$19,292,400.00 ",10-20,"$17,743,723.03 ",Portrait de Paul Eluard (1929),Portrait de Paul Eluard,1929,10 february (Sotheby's LONDON),10,February,2011,(Sotheby's LONDON),London,"51.498382, -0.126210","Salvador Dali, Portrait de Paul Eluard (1929), sold at (Sotheby's LONDON) for $19292400"
32,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$19,000,000.00 ",10-20,"$17,743,723.03 ",Femmes lisant (deux personnages) (1934),Femmes lisant (deux personnages),1934,03 may (Sotheby's NY),03,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Pablo Picasso, Femmes lisant (deux personnages) (1934), sold at (Sotheby's NY) for $19000000"
33,PICASSO Pablo,,Pablo,Picasso,Pablo Picasso,"$19,000,000.00 ",10-20,"$17,743,723.03 ","Les femmes d'Alger, version L (1955)","Les femmes d'Alger, version L",1955,04 may (Christie's NY),04,May,2011,(Christie's NY),New York,"40.712592, -74.006542","Pablo Picasso, Les femmes d'Alger, version L (1955), sold at (Christie's NY) for $19000000"
34,RICHTER Gerhard,,Gerhard,Richter,Gerhard Richter,"$18,500,000.00 ",10-20,"$17,743,723.03 ",Abstraktes Bild (1997),Abstraktes Bild,1997,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Gerhard Richter, Abstraktes Bild (1997), sold at (Sotheby's NY) for $18500000"
35,SHI Tao,,Tao,Shi,Tao Shi,"$18,355,700.00 ",10-20,"$17,743,723.03 ",Landscape,Landscape,n/a,01 january (Nanjing Jingdian BEIJING),01,January,2011,(Nanjing Jingdian BEIJING),Beijing,"39.907288, 116.399519","Tao Shi, Landscape (n/a), sold at (Nanjing Jingdian BEIJING) for $18355700"
36,WARHOL Andy,,Andy,Warhol,Andy Warhol,"$18,000,000.00 ",10-20,"$17,743,723.03 ",Sixteen Jackies (1964),Sixteen Jackies,1964,10 may (Sotheby's NY),10,May,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Andy Warhol, Sixteen Jackies (1964), sold at (Sotheby's NY) for $18000000"
37,BACON Francis,,Francis,Bacon,Francis Bacon,"$17,500,000.00 ",10-20,"$17,743,723.03 ",Three Studies for a Self-Portrait (1967),Three Studies for a Self-Portrait,1967,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Francis Bacon, Three Studies for a Self-Portrait (1967), sold at (Sotheby's NY) for $17500000"
38,STILL Clyfford E.,,Clyfford E.,Still,Clyfford E. Still,"$17,500,000.00 ",10-20,"$17,743,723.03 ",Ph-1033 (1976),Ph-1033,1976,09 november (Sotheby's NY),09,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Clyfford E. Still, Ph-1033 (1976), sold at (Sotheby's NY) for $17500000"
39,WANG Hui,,Hui,Wang,Hui Wang,"$17,435,000.00 ",10-20,"$17,743,723.03 ",Landscape inspired by tang poems (1710),Landscape inspired by tang poems,1710,13 november (China Guardian BEIJING),13,November,2011,(China Guardian BEIJING),Beijing,"39.907288, 116.399519","Hui Wang, Landscape inspired by tang poems (1710), sold at (China Guardian BEIJING) for $17435000"
40,WANG Shimin,,Shimin,Wang,Shimin Wang,"$16,569,000.00 ",10-20,"$17,743,723.03 ",Landscapes (1647),Landscapes,1647,05 november (Sungari International BEIJING),05,November,2011,(Sungari International BEIJING),Beijing,"39.907288, 116.399519","Shimin Wang, Landscapes (1647), sold at (Sungari International BEIJING) for $16569000"
41,ROTHKO Mark,,Mark,Rothko,Mark Rothko,"$16,500,000.00 ",10-20,"$17,743,723.03 ",White Cloud (1956),White Cloud,1956,08 november (Christie's NY),08,November,2011,(Christie's NY),New York,"40.712592, -74.006542","Mark Rothko, White Cloud (1956), sold at (Christie's NY) for $16500000"
42,CAILLEBOTTE Gustave,,Gustave,Caillebotte,Gustave Caillebotte,"$16,000,000.00 ",10-20,"$17,743,723.03 ",Le pont d'Argenteuil et la Seine (1883),Le pont d'Argenteuil et la Seine,1883,02 november (Sotheby's NY),02,November,2011,(Sotheby's NY),New York,"40.712592, -74.006542","Gustave Caillebotte, Le pont d'Argenteuil et la Seine (1883), sold at (Sotheby's NY) for $16000000"
