ID,Artist-Name,Hammer price,Price Bracket (millions),Average Price,Given Artwork Title,Selected Artwork Title,Date Created,Sale Info, ,Month,Year,Date Sold,Auction House,City,location,Citation
46,Alberto Giacometti,"$15,408,050.00 ",10-20,"$17,743,723.03 ",Trois hommes qui marchent II (1948),Trois hommes qui marchent II,1948,22 june (Sotheby's LONDON),22,June,2011,"June 22, 2011",(Sotheby's LONDON),London,"51.498382, -0.126210","Alberto Giacometti, Trois hommes qui marchent II (1948), sold at (Sotheby's LONDON) for $15408050"
72,Alexej Von Jawlensky,"$10,000,000.00 ",8-10,"$17,743,723.03 ",Frau mit grünem fächer (1912),Frau mit grünem fächer,1912,03 may (Sotheby's NY),03,May,2011,"May 03, 2011",(Sotheby's NY),New York,"40.712592, -74.006542","Alexej Von Jawlensky, Frau mit grünem fächer (1912), sold at (Sotheby's NY) for $10000000"
92,André Derain,"$8,383,440.00 ",8-10,"$17,743,723.03 ",Bateaux á Collioure (1905),Bateaux á Collioure,1905,09 february (Christie's LONDON),09,February,2011,"February 09, 2011",(Christie's LONDON),London,"51.498382, -0.126210","André Derain, Bateaux á Collioure (1905), sold at (Christie's LONDON) for $8383440"
86,A. Warhol,"$8,700,000.00 ",8-10,"$17,743,723.03 ",Four Campbell's Soup Cans (1962),Four Campbell's Soup Cans,1962,08 november (Christie's NY),08,November,2011,"November 08, 2011",(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Four Campbell's Soup Cans (1962), sold at (Christie's NY) for $8700000"
10,Andy Warhol,"$34,250,000.00 ",30-40,"$17,743,723.03 ",Self-Portrait (1963),Self-Portrait,1963,11 may (Christie's NY),11,May,2011,"May 11, 2011",(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Self-Portrait (1963), sold at (Christie's NY) for $34250000"
21,Andie Warhol,"$24,000,000.00 ",20-30,"$17,743,723.03 ",Liz #5 (Early Colored Liz) (1963),Liz #5 (Early Colored Liz),1963,12 may (Phillips de Pury & Co NY),12,May,2011,"May 12, 2011",(Phillips de Pury & Co NY),New York,"40.712592, -74.006542","Andy Warhol, Liz #5 (Early Colored Liz) (1963), sold at (Phillips de Pury & Co NY) for $24000000"
54,Andy Warhol,"$14,500,000.00 ",10-20,"$17,743,723.03 ",Silver Liz (1963),Silver Liz,1963,08 november (Christie's NY),08,November,2011,"November 08, 2011",(Christie's NY),New York,"40.712592, -74.006542","Andy Warhol, Silver Liz (1963), sold at (Christie's NY) for $14500000"
36,Andy W.,"$18,000,000.00 ",10-20,"$17,743,723.03 ",Sixteen Jackies (1964),Sixteen Jackies,1964,10 may (Sotheby's NY),10,May,2011,"May 10, 2011",(Sotheby's NY),New York,"40.712592, -74.006542","Andy Warhol, Sixteen Jackies (1964), sold at (Sotheby's NY) for $18000000"
44,Andy Warhol,"$15,440,640.00 ",10-20,"$17,743,723.03 ",Self-Portrait (1967),Self-Portrait,1967,16 february (Christie's LONDON),16,February,2011,"February 16, 2011",(Christie's LONDON),London,"51.498382, -0.126210","Andy Warhol, Self-Portrait (1967), sold at (Christie's LONDON) for $15440640"
73,Andy Warholl,"$9,895,200.00 ",8-10,"$17,743,723.03 ",Mao (1973),Mao,1973,28 june (Christie's LONDON),28,June,2011,"June 28, 2011",(Christie's LONDON),London,"51.498382, -0.126210","Andy Warhol, Mao (1973), sold at (Christie's LONDON) for $9895200"
