ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
HA1955.24.2.16,Archaeology,Palstave Axe,,,Bronze Age,,,,,Bronze,Whole: 132 mm x 32 mm x 28 mm,"This is a bronze moulded palstave axe, dating to the mid Bronze Age. The axe would have been hafted onto a wooden handle and bound in place with a piece of leather.",dmas_ha1955_24_2_16_d01_cc1024.jpg
HA1955.24.2.17,Archaeology,Palstave Axe,,,Bronze Age,,,,,Bronze,Whole: 131 mm x 49 mm x 30 mm,"This is a bronze moulded palstave axe, dating to the mid Bronze Age. The axe would have been hafted onto a wooden handle and bound in place with a piece of leather.",dmas_ha1955_24_2_17_d01_cc1024.jpg
HA210001,Archaeology,Pick,,,Mesolithic,,"Mile Oak, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 140 mm x 55 mm,"This is a Mesolithic flint pick discovered in Mile Oak, Portslade, Sussex.   A flint pick would have been tied to a wooden handle and used like a pick axe.",dmas_ha210001_d01_cc1024.jpg
HA210077,Archaeology,Pick,,,Mesolithic,,"Mile Oak, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 158 mm x 50 mm,"This is a Mesolithic flint axe, unfinished. It was found in Mile Oak in Portslade, East Sussex.",dmas_ha210077_d01_cc1024.jpg
HA210500,Archaeology,Axe,,,Mesolithic,,"Mile Oak, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 130 mm x 50 mm,"This is a Mesolithic flint axe with a tranchet end, found at Mile Oak, in Portslade, East Sussex.",dmas_ha210500_d01_cc1024.jpg
HA220004,Archaeology,Polished Axe,,,Neolithic,Ernest H Willett,"Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 118 mm x 66 mm,"This is a Neolithic polished flint axe which was found re-used as part of a wall in Portslade, East Sussex.",dmas_ha220004_d01_cc1024.jpg
HA220830,Archaeology,Hammerstone,,,Neolithic,,"Mile Oak, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 82 mm x 50 mm,"This is a Neolithic flint hammerstone, which was discovered in Mile Oak in Portslade, East Sussex. Hammerstones were used to strike flint to produce smaller flint flakes. The smaller flint flakes would then be worked into a variety of tools.",dmas_ha220830_d01_cc1024.jpg
HA221627,Archaeology,End Scraper,,,Neolithic,,"Hove Park, Hove, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 61 mm x 37 mm,"This is a Neolithic flint end scraper found at Hove Park in Hove, East Sussex. The end of the scraper has been retouched to make a rounded scraping edge. A probable use for scrapers was cleaning animal skins.",dmas_ha221627_d01_cc1024.jpg
HA222341,Archaeology,Fabricator,,,Neolithic,,"Mile Oak, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 70 mm x 15 mm,"This is a Neolithic flint fabricator, which is a retouched flint tool. Fabricators may have been used for lighting fires by striking it against another flint.",dmas_ha222341_d01_cc1024.jpg
HA230207,Archaeology,Arrowhead,,,Bronze Age,,"Cock Roost Bottom, Portslade, Brighton & Hove, East Sussex, England, United Kingdom, Europe",,,Flint,Whole: 35 mm x 30 mm,"This is a Bronze Age triangular barbed and tanged flint arrowhead. One of the barbs of the arrowhead is missing. The arrowhead was found at the top of Cock Roost Bottom, north of Portslade. The arrowhead would have been mounted on a shaft of wood.",dmas_ha230207_d01_cc1024.jpg
