ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valuation Date,Linked Events,Linked Facilities,Linked Media,Linked People,Linked Places,Linked Pubs,Site,Linked Subjects,Linked Taxonomy,Linked Research,Linked Terms,For Web Approval,Published on Web,Image required,Created By,Create Date,Updated By,XG_STATE,Update Date,MKEY
DA300033,Craft,Vase,,Bernard Leach,1921,,,,English,Stoneware,whole: 165 cm,Cubic form vase with rounded edges clear glazed with beige glaze around narrow neck and base impressed criss cross pattern on two sides.,dmas_da300033_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,48
DA300833,Craft,Plate,,Ray Marshall; Millard Pottery,c1950,,,,English,Stoneware,whole: 38 x 240 x 240 mm,"This stoneware plate dating from around 1950 is decorated in green glaze, with black enamelled and incised decoration. It was designed and made by Ray Marshall at the Milland Pottery, Hampshire. 
The plate is used to illustrate the history of modern design.",dmas_da300833_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,892
DA300835,Craft,Vase,,Ray Marshall,1952,,,,English,Stoneware,0360/0280/0280,Bulbous stoneware vase applied with a asymmetrical loops of clay finished with a glazed green and brown.,dmas_da300835_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,CATHERINEENGLISH,99,8/9/10,894
DA301241,Craft,Brooch,,Cicada,1973-1985,,,,,plastic; enamel; metal gilt,whole: 40 x 28 x 10 mm,"A brooch, moulded in high relief as an oval ivory face. Enamelled with a striped gilt hat. Created by Cicada.",dmas_da301241_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1281
DA301242,Craft,Brooch,,Cicada,1973-1985,,,,,plastic,whole: 40 x 28 x 10 cm,"A small brooch, moulded into a high relief as an oval face, enamelled with a black hat and net.",dmas_da301242_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1282
DA301243,Craft,Brooch,,Cicada,1973-1985,,,,,plastic,whole: 67 x 45 x 20 cm,"A small brooch, moulded into a high relief as an ivory coloured face with a sloth hat and hair.",dmas_da301243_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1283
DA301244,Craft,Necklace,,Cicada,1973-1985,,,,,plastic,whole: 32 x 460 x 5 cm,A necklace consisting of alternating black circles with white and red designs and black squares with white designs.,dmas_da301244_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1284
DA301245,Craft,Earring,,Cicada,1973-1985,,,,,plastic,whole: 32 x 32 x 5 cm,A pair of earrings with a black and white circular design. Created by Cicada.,dmas_da301245_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1285
DA301246,Craft,Earring,,Cicada,1973-1985,,,,,Plastic,whole: 32 mm x 32 mm x 5 mm,"A pair of earrings with a black and white circular design. Created by Cicada.
A pair of earrings with a black and white circular design. Created by Cicada.",dmas_da301246_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1286
DA301247,Craft,Necklace,,Cicada,1973-1985,,,,,Plastic,whole: 27 x 390 x 17 mm,"A necklace consisting of eleven semi circle beads, some plain green and purple floral material.",dmas_da301247_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,HEATHERYORK,99,6/2/12,1287
DA301248,Craft,Necklace,,Cicada,1973-1985,,,,,plastic,whole: 27 x 360 x 17 mm,A necklace with Clarice Cliff landscape inscribed on seven semicircular beads and ivory coloured spacers.,dmas_da301248_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1288
DA301249,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 93 x 27 x 5 cm,"A transparent brooch in parrot design, decorated with metallic paint and enamel.",dmas_da301249_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1289
DA301250,Craft,Brooch,,Cicada,1973-1985,,,,,Plastic,whole: 93 x 27 x 5 mm,"A transparent brooch in parrot design, decorated with metallic paint and enamel.",dmas_da301250_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N,CONVERSION,1/8/02,JENNYHAND,99,11/10/10,1290
