ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
285,Fine Art,Etching,,Jan Lievens; Frans van den Wijngaerde,1630,,,,,,,"Unusually, the genesis for Jan Lievens’s celebrated oil painting The Raising of Lazarus was in the form of an etching published a year earlier in 1630.  It was more common during this period for etchings and engravings to derive from popular paintings to satisfy the demand for reproductions.",dmas_285_d01_cc1024.jpg
FA000001,Fine Art,Oil Painting,,Jan Lievens,1631,,,,,Oil paint on canvas,Whole: 1070 mm x 1143 mm,This scene depicts the story of Jesus performing the miracle of the raising of Lazarus. Jesus looks upwards with his hands clasped in front of him. Around his head is a halo of light. To his left several mourners look on in awe and a long winding cloth falls from the arms of one them down a grassy bank into Lazarus's tomb. Only the outstretched arms of Lazarus can be seen.,dmas_fa000001_d01_cc1024.jpg
FA000002,Fine Art,Oil Painting,,Bartholomeus van Bassen,1627,,,,,,Whole: 990 mm x 1232 mm,This example is a re-working of Jan Lievens’s original copper plate by Frans van den Wijngaerde.  Plates were often re-worked due to their limited life span; the etched or engraved grooves in the plate that retain the ink wear thin after a number of runs in the press.  These grooves are reworked with a sharp tool to enable a larger print edition and to accommodate any changes an artist may wish to make.  It is unusual to find an etching with six or more different ‘states’ and for each image to differ in both the contrast of the ink and added or deleted elements.,dmas_fa000002_d01_cc1024.jpg
FA000004,Fine Art,Oil Painting,,Nicolaes Maes,1662,,,,,Oil paint on oak board,Whole: 368 mm x 457 mm,"Nicolaes Maes, a prolific Dutch seventeenth century painter depicts a boy with a fishing rod, bag and red sash around his waist with an excited dog on a leash by his side. In the background trees, a stretch of water with a church and a windmill can be seen.",dmas_fa000004_d01_cc1024.jpg
FA000005,Fine Art,Oil Painting,,(follower of) Peter Paul Rubens,c1673,,,,Dutch,"Oil paint on oak panel, cradled",Support: 740 mm x 1065 mm,"This painting depicts the goddess Diana with 'hounds' and huntresses pursues two 'stags' and two hinds across a river. Diana (with crescent in her hair) is spearing a hind; one companion aims a bow and arrow, another aims a javelin, a third blows a horn, and the fourth restrains a hound. To the right a hound cowers reluctantly.",dmas_fa000005_d01_cc1024.jpg
FA000006,Fine Art,Oil Painting,,Jan Victors,c1655,,,,Dutch,Oil paint on canvas,Support: 769 mm x 1524 mm,"In this painting, curtains are drawn back to reveal a man lying in bed holding the hairy hand of another. A woman stands behind. Meat and bread lie on the patterned bed cover.
The scene depicted is from the Old Testament.  Jacob, aided by his mother, Rebecca, convinces his blind and dying father, Isaac, that he is the older brother, Esau, so that he can claim his brother’s inheritance.  As Esau was ‘a hairy man’, Jacob covered his hand with a goatskin to complete the deception.",dmas_fa000006_d07_cc1024.jpg
FA000009,Fine Art,Oil Painting,,Albert Cornelis,c1515,,,,Dutch,Oil paint and tempera on oak panel,Support: 839 mm x 634 mm x 20 mm,"This painting shows the Virgin Mary with Christ child surrounded by angels. Below them is a grey and cloudy sky over a landscape with buildings, figures, a bridge and a river.",dmas_fa000009_d01_cc1024.jpg
FA000011,Fine Art,Oil Painting,,Joachim Patinir,c1550,,,,Dutch,Oil on panel,Support: 740 mm x 1035 mm,"This painting shows the 'Tower of Babel' looming out of the background of a broad valley, in which are scattered trees and mountains, houses and people. There is a seashore with boats to the right and a tall tree. Groups of figures are shown working whilst others gather around their king.",dmas_fa000011_d01_cc1024.jpg
FA000014,Fine Art,Oil Painting,,Aert de Gelder,c1670,,,,,Oil paint on canvas,Whole: 946 mm x 1435 mm,"Aert de Gelder's painting shows a bridal couple at a notary's office. The notary is seated and is writing in a register as his assistant looks over his shoulder. Opposite the notary an older woman is reading a document, in front of her on the table is an inkwell and beside her is a box of jewellery, presumably the dowry. The couple stand behind the notary and the bridegroom turns his bride's face towards him.",dmas_fa000014_d01_cc1024.jpg
FA000016,Fine Art,Oil Painting,,Benjamin Wilson,c1755,,,,,Oil paint on canvas,Whole: 1260 mm,"This is a portrait of Dr Richard Russell who made Brighton famous in the seventeenth century with his 'seawater cure'; this included bathing in the sea for medicinal purposes and drinking pints of seawater in prescribed doses. In this picture Russell sits in half right profile, he wears a grey wig, a grey coat with gold buttons and white cuffs. He has a book open next to his left hand.",dmas_fa000016_d01_cc1024.jpg
