ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
BCMAS000002,Natural Sciences,Recurvirostra avosetta,Case of Avocets,,,William Borrer; Robert Nathaniel Dennis,"England, United Kingdom, Europe",1846-1853,,,Whole: 1160 mm x 1655 mm,"This case of four mounted Avocets shows two immature birds and two adults. The setting is a recreation of their natural habitat. 
Three of the birds were shot in Newhaven, Sussex by the Rev. R. N. Dennis in July 1953, and the fourth bird is part of the Borrer collection, shot at Frensham, Surrey, in July 1846.",dmas_bcmas000002_d01_cc1024.jpg
BCMAS000003,Natural Sciences,Parus caeruleus,Case of Blue Tits,,,Edward Thomas Booth,"Nigg, Ross and Cromarty, Scotland, United Kingdom, Europe",1869-06,,,Whole: 710 mm x 1040 mm,"This is a case of eleven mounted Blue Tits in a setting that is a recreation of their natural habitat. 
It depicts male and female adult birds, and their young as they were on the point of leaving the stump in which they had hatched. They were collected by Edward Thomas Booth in June, 1869 in Nigg, Scotland.",dmas_bcmas000003_d01_cc1024.jpg
BCMAS000004,Natural Sciences,Emberiza cirlus,Case of Cirl Buntings,,,Edward Thomas Booth,"Brighton, Brighton & Hove, East Sussex, England, United Kingdom, Europe",Collected 1873-11,,,Whole: 710 mm x 1040 mm,"This case of two mounted adult Cirl Buntings shows a male and a female in a setting which is a recreation of their natural habitat. 
They were shot by Edward Thomas Booth in November 1873, near Brighton, East Sussex.",dmas_bcmas000004_d01_cc1024.jpg
BCMAS000005,Natural Sciences,Plectrophenax nivalis,Case of Snow Buntings,,,Edward Thomas Booth,"Near Yarmouth, Norfolk, England, United Kingdom, Europe",Collected 1872-11,,,Whole: 710 mm x 1040 mm,"This is a case of eight mounted Snow Buntings in a setting, which is a recreation of their natural habitat.  
These birds were shot by Edward Thomas Booth in November 1872, near Yarmouth, Norfolk.",dmas_bcmas000005_d01_cc1024.jpg
BCMAS000006,Natural Sciences,Panurus biarmicus,Case of Bearded Tits ( immature),,,Edward Thomas Booth,"Hickling Broad, Norfolk, England, United Kingdom, Europe",Collected 1872-09,,,Whole: 710 mm x 1040 mm,"This case of mounted immature Bearded Tits shows the young birds at the point of becoming fully fledged. The setting is a recreation of their natural habitat. 
The birds were shot by Edward Thomas Booth in Hickling Broad, Norfolk in September 1872 and are illustrated in his {i}Rough Notes{/i}   (London, R.H. Porter and Dulau & Co., 1881-1887, vol. 1, plate 24).",dmas_bcmas000006_d01_cc1024.jpg
BCMAS000008,Natural Sciences,Podiceps auritus,Case of Sclavonian Grebes,,,William Borrer,"Lincolnshire, England, United Kingdom, Europe",Collected 1846-06,,,Whole: 710 mm x 1040 mm,"This case of two mounted Sclavonian Grebes shows two adult birds in a setting which is a recreation of their natural habitat. 
The adult male, in full breeding plumage, was collected in Lincolnshire in June 1846 and is part of the Borrer collection.",dmas_bcmas000008_d01_cc1024.jpg
BCMAS000010,Natural Sciences,Podiceps grisegena,Case of Red-necked Grebe (Summer [nesting] plumage),,,Bishop Wilberforce; Daniel Hack,"Sussex, England, United Kingdom, Europe",Collected 1852-1907,,,Whole: 710 mm x 1040 mm,"This is a case of two mounted Red-necked Grebes. The adult birds are shown in full nesting plumage in a setting which is a recreation of their natural habitat.
One of the birds was part of the Bishop Wilberforce Collection and was collected in Shoreham, East Sussex, in 1852. The other was collected at Rye, Sussex in April, 1907, and was presented to the museum in 1908 by Daniel Hack.",dmas_bcmas000010_d01_cc1024.jpg
BCMAS000011,Natural Sciences,Sylvia nisoria,Case of Barred Warbler,,,John Bruce Nichols; Dale,"Woodchurch, Kent, England, United Kingdom, Europe",Collected 1907-04-24,,,Whole: 710 mm x 1040 mm,"This is a case containing one adult male Barred Warbler. The specimen is shown with mature plumage in a setting which is a recreation of its natural habitat. It was shot at Woodchurch, Kent, in April 1907 by a man named Dale.
Three weeks after it had been collected, it was exhibited at the B.O.C. (British Ornithologist’s Club) by Dr. N F Ticehurst. This is cited in the BOC {i}Bulletin{/i} (vol. 19, p. 89) and {i}Birds of Kent{/i} (p. 39)
It was purchased by J B Nichols in May 1907.",dmas_bcmas000011_d01_cc1024.jpg
BCMAS000013,Natural Sciences,Xema sabini,Case of Sabine's Gulls,,,V Harpur-Crewe; William Borrer,"United Kingdom, Europe",Collected 1871-1898,,,Whole: 710 mm x 1040 mm,"This case of three mounted Sabine’s Gulls shows the specimens in a setting that is a recreation of their natural habitat.
One of the birds was collected at Hove, Sussex in September 1871 and is part of the Borrer collection. See {i}Birds of Sussex{/i} (p. 252). The immature bird was collected near Aberystwith, Cardiganshire in October 1891, as recorded by Mr. J.H. Salter on p. 250 of  {i}The Zoologist{/i} of 1895. The other one was shot at Bridlington, Yorkshire in September 1898 and is from the Harpur Crewe collection.",dmas_bcmas000013_d01_cc1024.jpg
BCMAS000014,Natural Sciences,Emberiza melanocephala,Case of Black-headed Buntings,,,Thomas James Monk; Robert Brazenor; Roland Oliver; Arthur Ferris Griffith,"United Kingdom, Europe",Collected 1869-1912,,,Whole: 710 mm x 1050 mm,"This case of three mounted adult Black-headed Buntings shows the specimens in a setting that is a recreation of their natural habitat.
The female bird was shot in Brighton, Sussex in November 1869 and was part of the Monk collection before it passed to the museum. It is cited in Borrer’s {i}Birds of Sussex{/i} (p. 121)One of the males was collected in Halifax, 1910 and kept alive in an aviary until 1911 when it was killed by another captive bird. The other male was shot at Battle, Sussex by Roland Oliver, stuffed by Bristow and sent to A.F. Griffith who gave it to the museum. Both males were exhibited at the B.O.C. (British Ornithologist’s Club) in May 1914.",dmas_bcmas000014_d02_cc1024.jpg
BCMAS000015,Natural Sciences,Anthus campestris,Case of Tawny Pipits,,,Thomas James Monk; William Borrer; MJ Nicoll; V Harpur-Crewe,"Sussex, England, United Kingdom, Europe",1864-1905,,,Whole: 710 mm x 1050 mm,"This case of nine mounted Tawny Pipits depicts male and female adult birds and their young, in a setting which is a recreation of their natural habitat.
A pair of these, a male and female, are from the Vauncey Harpur Crewe collection. Another adult male comes from the Monk collection and was collected near Rottingdean, East Sussex in September 1864. The bird flying was also collected near Rottingdean in September 1869. The specimen to the right of the case was caught near Brighton in October 1871 and was part of William Borrer’s collection. The four birds to the left of the case were all shot by M.J. Nicoll one in Bexhill in 1904 and three at Rye Harbour, Sussex, in September 1903.",dmas_bcmas000015_d01_cc1024.jpg
BCMAS000016,Natural Sciences,Lophodytes cucullatus,Case of Hooded Mergansers,,,V Harpur-Crewe; Peart,"East Sussex, England, United Kingdom, Europe",Collected 1891-1909,,,Whole: 710 mm x 1050 mm,"This case of two adult male mounted Hooded Mergansers shows the specimens in a setting, which is a recreation of their natural habitat. 
One of the birds was shot by Mr. Peart near Cheltenham in March 1909 and stuffed by E T Clarke. This bird is mentioned in Witherby’s {i}Practical Handbook{/i} (Vol. 2, p. 121). The other bird was shot in Rye Harbour in January 1891 and stuffed by Gasson, the Rye Naturalist. 
Both became part of the Harpur Crewe Collection before they were passed on to the Booth Museum.",dmas_bcmas000016_d01_cc1024.jpg
BCMAS000017,Natural Sciences,Pyrrhula pyrrhula,Case of Bullfinch,,,MJ Nicoll,"St. Leonards on Sea, Hastings, East Sussex, England, United Kingdom, Europe",1897-01-07,,,Whole: 700 mm x 1050 mm,"This is a case containing one mounted, adult, male Bullfinch, in a setting which is a recreation of its natural habitat.
It was shot in January 1897 at St. Leonards, East Sussex. The skin was preserved by Bristow who sold it to L.A. Curtis from whom it was acquired by exchange by M J Nicoll. It was purchased by the Museum in December 1912.",dmas_bcmas000017_d01_cc1024.jpg
BCMAS000018,Natural Sciences,Aythya nyroca,Case of Ferruginous Duck,,,William Borrer,"Lincolnshire, England, United Kingdom, Europe",,,,Whole: 710 mm x 1050 mm,"This case containing a mounted male Ferruginous Duck shows the specimen in a recreation of its natural habitat. 
It was collected in Lincolnshire and is part of the Borrer collection.",dmas_bcmas000018_d01_cc1024.jpg
