ID,Category,Object Name,Common Name,Producer,Date Produced,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.
TY000022,Toys,Diabolo Sticks,,,,,,,,,,These wooden sticks form part of a diabolo set.,dmas_ty000022_d01_2400h3300w_cc1024.jpg
TY000110,Toys,Baby Doll,,,Early 20th Century,,,,,Composition and cloth,,"This doll’s head is made of composition and its body is made of stuffed fabric.  It has blue glass sleeping and flirting eyes which move from side to side.  It has moulded hair and an open mouth painted red. It is wearing a white synthetic lace gown with long sleeves trimmed with white and pink lace at neckline, sleeves and hem.  It was made and bought in Germany c1930.",dmas_ty000110_d01_cc1024.jpg
TY000205,Toys,Puppet,,Roger Law; Peter Fluck,1980s,,,,English,"Latex rubber, cloth and metal",whole: 470 x 400 x 400 mm,This is a latex puppet caricaturing the Labour politician Glenda Jackson. The puppet depicts her as Queen Elizabeth 1; a role she famously played in the BBC television series 'Elizabeth R' (1971). The puppet was made for the television series 'Spitting Image'. It was created by Roger Law and Peter Fluck around 1985.,dmas_ty000205_d01_cc1024.jpg
TY000207,Toys,Doll,,,2000,,,,American,plastic and textile,,This is a 'Barbie' doll created by Mattel to mark the American election in 2000. 'Presidential Candidate Barbie' wears a fitted blue suit with blue tights and shoes. She also wears a pearl necklace and a lapel badge reading 'Barbie for President'.,dmas_ty000207_d02d_cc1024.jpg
TY000301,Toys,Mechanical Airship,,E P Lehmann,Early 20th Century,,,,,Painted tin plate; Metal; Celluloid,whole: 55 x 230 x 55 mm,This gold airship has dark gold ribbing and two gondolas.  It has a clear plastic propeller at the back. It is marked with EPL.1 and has a clockwork mechanism.,dmas_ty000301_d01_cc1024.jpg
TY000309,Toys,Mechanical Vehicle,,Bing,Early 20th Century,,,,German,Metal; Lithographed tin plate; Rubber,whole: 155 x 250 x 120 mm,"This open top double decker bus is red and grey.  It has advertisements printed on the sides including ""Pears Soap"", ""Oxo"", ""Harry Lauder at the Tivoli"" and ""Yost Typewriter"".  The wheels are yellow and it has a clockwork mechanism with a stop-start lever.",dmas_ty000309_d01_cc1024.jpg
TY000642,Toys,Model Aeroplane,,Newray of China,2002,,,,,Plastic,,This spitfire has a brown and green camouflage pattern with targets on the wings and body.  It has a clear plastic dome over the cockpit with a beige figure inside.  It is made of plastic.  It was made by Newray in China in 2002.,dmas_ty000642_d01_cc1024.jpg
TY1304/24,Toys,Dumbo Paint Set,,,,,,,,,,This metallic box has an image of the Disney character Dumbo on the lid and contains 24 brightly coloured paint along with a brush.,dmas_ty1304_24_d01_2400h3300w_cc1024.jpg
TY492,Toys,Znap Lego,,,,,,,,,,"This Znap Lego set contains a book with 31 different instructions which can be followed to create a number of car, plane or animal designs.",dmas_ty492_d01_2400h3300w_cc1024.jpg
TYMAS000490,Toys,Game Tiles,,,Mid Nineteenth Century,,,,,wood and paper,whole: 30 x 25 x 5 mm,"These three wooden tiles depict the letters A, B and C from the alphabet. The letters are illustrated with words and pictures, an anvil, a bugle and a crown.",dmas_tymas000490_d01_cc1024.jpg
