,Artist,Hammer price,Artwork
1,QI Baishi,$57 202 000,Eagle Standing on Pine Tree; Four-Character [...]
2,STILL Clyfford E.,$55 000 000,1949-A-No . 1 (1949)
3,WANG Meng,$54 040 000,Zhi Chuan moving to Mountain
4,LICHTENSTEIN Roy,$38 500 000,I Can See the Whole Room!...and [...] (1961)
5,GUARDI Francesco,$38 256 120,"Venice, a View of the Rialto Bridge, Looking [...]"
6,XU Beihong,$36 679 200,Cultivation on the peaceful land (1951)
7,PICASSO Pablo,$36 274 500,La lecture (1932)
8,KLIMT Gustav,$36 000 000,Litzlberg Am Attersee (c.1914/15)
9,SCHIELE Egon,$35 681 800,HÃ_user mit bunter wÃ_sche (Vordatdt II) [...](1914)
10,WARHOL Andy,$34 250 000,Self-Portrait (1963-1964)
11,BACON Francis,$32 957 850,Three studies for portrait of Lucian Freud
12,STUBBS George,$32 158 000,"Gimcrack on Newmarket Heath, with a trainer [...]"
13,FU Baoshi,$31 520 000,Landscapes (1964/65)
14,ROTHKO Mark,$30 000 000,Untitled No. 17 (1961)
15,STILL Clyfford E.,$28 000 000,1947-Y-No. 2 (1947)
16,QI Baishi,$26 786 500,Landscape (1931)
17,ALMA-TADEMA Lawrence,$26 000 000,The Meeting of Antony and Cleopatra: 41 Bc
18,PICASSO Pablo,$25 872 000,"Femme assise, robe bleue (1939)"
19,BACON Francis,$25 536 000,Study for a portrait (1953)
20,WARHOL Andy,$24 500 000,Self-Portrait (1986)
21,WARHOL Andy,$24 000 000,Liz #5 (Early Colored Liz) (1963)
22,TANG Yin,$23 145 000,Landscape
23,REN Yi,$22 533 000,Huafeng Peopleâ€™s Wishes to Emperor Yao
24,BACON Francis,$22 500 000,Studies for Self-Portrait (1974)
25,ZHANG Daqian,$21 845 000,Lotus and Mandarin Ducks (1947)
26,XU Beihong,$20 596 270,Figure
27,PICASSO Pablo,$20 500 000,L'aubade (1967)
28,MONET Claude,$20 000 000,Les Peupliers (1891)
29,VLAMINCK de Maurice,$20 000 000,Paysage de banlieue (1905)
30,PICASSO Pablo,$19 404 000,Jeune fille endormie (1935)
31,DALI Salvador,$19 292 400,Portrait de Paul Eluard (1929)
32,PICASSO Pablo,$19 000 000,Femmes lisant (deux personnages) (1934)
33,PICASSO Pablo,$19 000 000,"Les femmes d'Alger, version L (1955)"
34,RICHTER Gerhard,$18 500 000,Abstraktes Bild (1997)
35,SHI Tao,$18 355 700,Landscape
36,WARHOL Andy,$18 000 000,Sixteen Jackies (1964)
37,BACON Francis,$17 500 000,Three Studies for a Self-Portrait (1967)
38,STILL Clyfford E.,$17 500 000,Ph-1033 (1976)
39,WANG Hui,$17 435 000,Landscape inspired by tang poems (1710)
40,WANG Shimin,$16 569 000,Landscapes (1647)
41,ROTHKO Mark,$16 500 000,White Cloud (1956)
42,CAILLEBOTTE Gustave,$16 000 000,Le pont d'Argenteuil et la Seine (c.1883)
43,RICHTER Gerhard,$16 000 000,Gudrun (1987)
44,WARHOL Andy,$15 440 640,Self-Portrait (1967)
45,WU Guanzhong,$15 440 000,Lion Woods (1988)
46,GIACOMETTI Alberto,$15 408 050,Trois hommes qui marchent II (1948)
47,PICASSO Pablo,$15 361 500,Buste de FranÃ§oise (1946)
48,KOONS Jeff,$15 000 000,Pink panther (1988)
49,TIZIANO VECELLIO,$15 000 000,A Sacra Conversazione: the Madonna and Child [...]
,Artist,Hammer price,Artwork
51,SU Shi,$14 677 500,Bamboo and Stone
52,RICHTER Gerhard,$14 630 760,Kerze (Candle) (1982)
53,ERNST Max,$14 500 000,The Stolen Mirror (1941)
54,WARHOL Andy,$14 500 000,Silver Liz (1963)
55,CUI Ruzhuo,$14 113 000,Lotus (2011)
56,MATISSE Henri,$14 000 000,La fenÃªtre ouverte (1911)
57,WU Hufan,$13 553 600,Landscape (1954)
58,TWOMBLY Cy,$13 500 000,Unititled (1967)
59,BRANCUSI Constantin,$13 200 000,Le premier cri (1917)
60,HONG Yi,$13 115 500,Figure (1939)
61,QI Baishi,$12 765 600,Banana trees
62,RICHTER Gerhard,$12 500 000,Abstraktes Bild (1992)
63,QI Baishi,$12 368 000,Flowers and birds
64,BACON Francis,$11 825 940,Crouching Nude (1961)
65,FU Baoshi,$11 412 000,Song of a pipa player
66,CHEN Yifei,$10 934 000,Wind of Mountain Village (1994)
67,BONNARD Pierre,$10 318 080,Terrasse Ã  Vernon (1923)
68,RICHTER Gerhard,$10 257 920,Abstraktes Bild (1990)
69,WU Guanzhong,$10 244 000,Former residence of Qiu Jin (2002)
70,ZHU Da,$10 055 500,Lotus (1699)
71,GAUGUIN Paul,$10 000 000,Jeune tahitienne (c.1893)
72,JAWLENSKY von Alexej,$10 000 000,Frau mit grÃ_nem fÃ_cher (1912)
73,WARHOL Andy,$9 895 200,Mao (1973)
74,BRUEGHEL Pieter II,$9 517 830,The Battle between Carnival and Lent
75,BOURGEOIS Louise,$9 500 000,Spider (1996)
76,ZHANG Daqian,$9 412 300,Flowers (1944)
77,PICASSO Pablo,$9 407 020,"Couple, le baiser (1969)"
78,ZOFFANY Johan Joseph,$9 373 200,"The Garden at Hampton House, with Mr and Mrs [...]"
79,GAINSBOROUGH Thomas,$9 325 820,"Portrait of Mrs. William Villebois, full-length [...]"
80,FAN Zeng,$9 258 000,Figure (1997)
81,GAUGUIN Paul,$9 216 900,Le vallon (1892)
82,SHI Tao,$9 169 800,Arhat
83,ZHANG Xiaogang,$9 002 000,Forever Lasting Love
84,MAGRITTE RenÃ©,$9 000 000,Les vacances de Hegel (1958)
85,DOIG Peter,$8 778 000,Red boat (Imaginary boys) (2003/04)
86,WARHOL Andy,$8 700 000,Four Campbell's Soup Cans (1962)
87,QI Baishi,$8 695 500,Landscape
88,BACON Francis,$8 500 000,Untitled (Crouching Nude on Rail) (1952)
89,PICASSO Pablo,$8 500 000,Couple Ã  la guitare (1970)
90,WU Guanzhong,$8 492 000,Shrubalthea (1975)
91,ZHANG Daqian,$8 481 000,Children Playing under a Pomegranate Tree (1948)
92,DERAIN AndrÃ©,$8 383 440,Bateaux Ã  Collioure (1905)
93,QI Baishi,$8 337 600,Grass and insects
94,MITCHELL Joan,$8 250 000,Untitled (c.1960)
95,MONET Claude,$8 200 000,"Antibes, Le Fort (1888)"
96,VELDE van de Willem II,$8 191 575,Dutch men-o'-war and other shipping in a calm
97,STAÃ‹L de Nicolas,$8 171 320,"Nu couchÃ©, (Nu) (1953/54)"
98,POLKE Sigmar,$8 150 310,Dschungel (Jungle) (1967)
