ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
2106,"Villard, Antoine",Male,1867â€“1934,1867,1934,France,Paris,http://www.tate.org.uk/art/artists/antoine-villard-2106
582,"Waterford, Louisa Anne, Marchioness of",Female,1818â€“1891,1818,1891,"Paris, France","Ford, United Kingdom",http://www.tate.org.uk/art/artists/louisa-anne-marchioness-of-waterford-582
308,"Kettle, Tilly",Male,1734 or 5â€“1786,1734,1786,"Exeter, United States",Suriyah,http://www.tate.org.uk/art/artists/tilly-kettle-308
1960,"Sobrino, Francisco",Male,born 1932,1932,,"Guadalajara, EspaÃ±a",,http://www.tate.org.uk/art/artists/francisco-sobrino-1960
2623,"Law, Alfred",Male,19th century,1800,1899,,,http://www.tate.org.uk/art/artists/alfred-law-2623
1989,"Steele, Jeffrey",Male,born 1931,1931,,"Cardiff, United Kingdom",,http://www.tate.org.uk/art/artists/jeffrey-steele-1989
4733,"Lambie, Jim",Male,born 1964,1964,,"Glasgow, United Kingdom",,http://www.tate.org.uk/art/artists/jim-lambie-4733
2193,"Hopwood, Henry Silkstone",Male,1860â€“1914,1860,1914,"Leicester, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/henry-silkstone-hopwood-2193
2003,"Strang, Ian",Male,1886â€“1952,1886,1952,"London, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/ian-strang-2003
240,"Hart, Solomon Alexander",Male,1806â€“1881,1806,1881,"Plymouth, United Kingdom",,http://www.tate.org.uk/art/artists/solomon-alexander-hart-240
7275,"Hein, Jeppe",Male,born 1974,1974,,"KÃ¸benhavn, Danmark",,http://www.tate.org.uk/art/artists/jeppe-hein-7275
1482,"Leck, Bart van der",Male,1876â€“1958,1876,1958,"Utrecht, Nederland","Blaricum, Nederland",http://www.tate.org.uk/art/artists/bart-van-der-leck-1482
2205,"Oulton, ThÃ©rÃ¨se",Female,born 1953,1953,,"Shrewsbury, United Kingdom",,http://www.tate.org.uk/art/artists/therese-oulton-2205
2633,Lairesse,,,,,,,http://www.tate.org.uk/art/artists/lairesse-2633
1236,"Vuong, Ha van",Female,born 1914,1914,,Viet Nam,,http://www.tate.org.uk/art/artists/ha-van-vuong-1236
3098,"Ahtila, Eija-Liisa",Female,born 1959,1959,,"HÃ_meenlinna, Suomi",,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
1134,"Furse, Charles Wellington",Male,1868â€“1904,1868,1904,"Staines, United Kingdom","Camberley, United Kingdom",http://www.tate.org.uk/art/artists/charles-wellington-furse-1134
6500,"BjÃ¸rlo, Per Inge",Male,born 1952,1952,,"Ã…lesund, Norge",,http://www.tate.org.uk/art/artists/per-inge-bjrlo-6500
2364,"Araeen, Rasheed",Male,born 1935,1935,,"Karachi, Pakistan",,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
1861,"Rogers, Claude",Male,1907â€“1979,1907,1979,"London, United Kingdom",,http://www.tate.org.uk/art/artists/claude-rogers-1861
2352,"Gennari, Benedetto",Male,1633â€“1715,1633,1715,"Cento, Italia","Bologna, Italia",http://www.tate.org.uk/art/artists/benedetto-gennari-2352
1929,"Shadbolt, Jack",Male,1909â€“1998,1909,1998,"Shoeburyness, United Kingdom",,http://www.tate.org.uk/art/artists/jack-shadbolt-1929
1253,"Haseltine, Herbert",Male,1877â€“1962,1877,1962,"Roma, Italia",,http://www.tate.org.uk/art/artists/herbert-haseltine-1253
2376,"Hill, Gary",Male,born 1951,1951,,"Santa Monica, United States",,http://www.tate.org.uk/art/artists/gary-hill-2376
1491,"Leigh, Maude Boughton",Female,c.1881â€“1945,1881,1945,,,http://www.tate.org.uk/art/artists/maude-boughton-leigh-1491
10094,"Hernandez, Anthony",Male,born 1947,1947,,United States,,http://www.tate.org.uk/art/artists/anthony-hernandez-10094
71,"Butler, Elizabeth",Female,1846â€“1933,1846,1933,"Lausanne, Schweiz",Ã‰ire,http://www.tate.org.uk/art/artists/elizabeth-butler-lady-butler-71
2600,"Quinn, Marc",Male,born 1964,1964,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/marc-quinn-2600
13676,"Eskandarfar, Samira",Female,born 1980,1980,,"Tehran, Ã_ran",,http://www.tate.org.uk/art/artists/samira-eskandarfar-13676
454,"Roberts, David",Male,1796â€“1864,1796,1864,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/david-roberts-454
5625,"Burgess, John",Male,,,,,,http://www.tate.org.uk/art/artists/john-burgess-5625
1165,"Gilbert, Stephen",Male,1910â€“2007,1910,2007,"Fife, United Kingdom",,http://www.tate.org.uk/art/artists/stephen-gilbert-1165
1394,"Kelly, Sir Gerald",Male,1879â€“1972,1879,1972,"London, United Kingdom",,http://www.tate.org.uk/art/artists/sir-gerald-kelly-1394
1171,"Gillies, Sir William",Male,1898â€“1973,1898,1973,"Haddington, United Kingdom",,http://www.tate.org.uk/art/artists/sir-william-gillies-1171
2770,"Sadotti, Giorgio",Male,born 1955,1955,,,,http://www.tate.org.uk/art/artists/giorgio-sadotti-2770
1731,"Ozenfant, AmÃ©dÃ©e",Male,1886â€“1966,1886,1966,"Saint Quentin, France","Cannes, France",http://www.tate.org.uk/art/artists/amedee-ozenfant-1731
265,"Hogarth, William",Male,1697â€“1764,1697,1764,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-hogarth-265
2150,"Willing, Victor",Male,1928â€“1988,1928,1988,"Al-Iskandariyah, Misr","London, United Kingdom",http://www.tate.org.uk/art/artists/victor-willing-2150
2764,"Klein, Jochen",Male,1967â€“1997,1967,1997,,,http://www.tate.org.uk/art/artists/jochen-klein-2764
647,"Amuchastegui, Axel",Male,1921â€“2002,1921,2002,"CÃ_rdoba, EspaÃ±a",,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
455,"Robinson, Sir John Charles",Male,1824â€“1913,1824,1913,"Nottingham, United Kingdom","Swanage, United Kingdom",http://www.tate.org.uk/art/artists/sir-john-charles-robinson-455
7080,"Ethridge, Roe",Male,born 1969,1969,,"Miami, United States",,http://www.tate.org.uk/art/artists/roe-ethridge-7080
650,"Annesley, David",Male,born 1936,1936,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/david-annesley-650
221,"Graham, Peter",Male,1836â€“1921,1836,1921,"Edinburgh, United Kingdom",,http://www.tate.org.uk/art/artists/peter-graham-221
630,"Adler, Jankel",Male,1895â€“1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
5741,"Ivanov, Sergei",,1885â€“1942,1885,1942,,,http://www.tate.org.uk/art/artists/sergei-ivanov-5741
