ID,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
7418,A00388,"Jones, George",artist,300,[title not known],date not known,Ink and watercolour on paper,Presented by the artist's widow 1888,,1888,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00388_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00388
7451,A00421,"Jones, George",artist,300,[title not known],date not known,Ink on paper,Presented by the artist's widow 1888,,1888,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00421_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00421
7591,A00561,"Jones, George",artist,300,[title not known],date not known,Watercolour and ink on paper,Presented by the artist's widow 1888,,1888,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00561_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00561
7599,A00569,"Jones, George",artist,300,[title not known],date not known,Watercolour and graphite on paper,Presented by the artist's widow 1888,,1888,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00569_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a00569
16555,A00763,"Linnell, John",artist,351,[title not known],published 1843,Wood engraving on paper,Presented by Herbert Linnell 1924,1843,1924,,,,,,,,http://www.tate.org.uk/art/images/work/A/A00/A00763_8.jpg,http://www.tate.org.uk/art/artworks/linnell-title-not-known-a00763
13919,A00873,"Stothard, Thomas",artist,531,[title not known],1806-7,Ink on paper,Presented by Henry Vaughan 1891,1806,1891,support: 114 x 190 mm,114,190,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00873_8.jpg,http://www.tate.org.uk/art/artworks/stothard-title-not-known-a00873
14674,A00974,"Turner, Joseph Mallord William",artist,558,Young Anglers,1811,Etching and engraving on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 177 x 259 mm,177,259,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00974_8.jpg,http://www.tate.org.uk/art/artworks/turner-young-anglers-a00974
14679,A00979,"Turner, Joseph Mallord William",artist,558,"Martello Towers near Bexhill, Sussex, engraved by William Say",1811,Etching and mezzotint on paper,Presented by A. Acland Allen through the Art Fund 1925,1811,1925,image: 179 x 261 mm,179,261,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00979_8.jpg,http://www.tate.org.uk/art/artworks/turner-martello-towers-near-bexhill-sussex-engraved-by-william-say-a00979
95725,AR00067,"Gallagher, Ellen",artist,9553,Untitled,1998,Oil paint and enamel on paper on canvas,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1998,2008,support: 3053 x 2444 x 38 mm,3053,2444,38,mm,,© Ellen Gallagher,http://www.tate.org.uk/art/images/work/AR/AR00067_8.jpg,http://www.tate.org.uk/art/artworks/gallagher-untitled-ar00067
105875,AR00943,"Beuys, Joseph",artist,747,Entartete Kunst,1979,Print on paper,ARTIST ROOMS Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008,1979,2009,image: 593 x 559 mm,593,559,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/AR/AR00943_8.jpg,http://www.tate.org.uk/art/artworks/beuys-entartete-kunst-ar00943
27613,D00197,"Turner, Joseph Mallord William",artist,558,A Kneeling Male Nude with Upraised Head and Arm in a Landscape Setting,c.1794-5,Chalk on paper,Accepted by the nation as part of the Turner Bequest 1856,1794,1856,support: 463 x 292 mm,463,292,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00197_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-kneeling-male-nude-with-upraised-head-and-arm-in-a-landscape-setting-d00197
27864,D00449,"Turner, Joseph Mallord William",artist,558,"Alum Bay, Isle of Wight",1795,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1795,1856,support: 204 x 264 mm,204,264,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00449_8.jpg,http://www.tate.org.uk/art/artworks/turner-alum-bay-isle-of-wight-d00449
28135,D00720,"Turner, Joseph Mallord William",artist,558,"Sheet of Studies: An Old Bearded Man Seen in Profile with a Boy Reaching Past him, Holding a Hat",c.1796-7,Chalk and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1796,1856,support: 344 x 242 mm,344,242,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00720_8.jpg,http://www.tate.org.uk/art/artworks/turner-sheet-of-studies-an-old-bearded-man-seen-in-profile-with-a-boy-reaching-past-him-d00720
28246,D00834,"Turner, Joseph Mallord William",artist,558,Blank,1796,,Accepted by the nation as part of the Turner Bequest 1856,1796,1856,support: 110 x 129 mm,110,129,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d00834
28252,D00840,"Turner, Joseph Mallord William",artist,558,"Study of the Inside of a Small Boat: Bow, Thwart and Ribs",1796,,Accepted by the nation as part of the Turner Bequest 1856,1796,1856,support: 126 x 108 mm,126,108,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00840_8.jpg,http://www.tate.org.uk/art/artworks/turner-study-of-the-inside-of-a-small-boat-bow-thwart-and-ribs-d00840
28546,D01135,"Turner, Joseph Mallord William",artist,558,Blank,1796-7,,Accepted by the nation as part of the Turner Bequest 1856,1796,1856,support: 113 x 93 mm,113,93,,mm,,,http://www.tate.org.uk/art/images/work/D/D01/D01135_8.jpg,http://www.tate.org.uk/art/artworks/turner-blank-d01135
28919,D01513,"Turner, Joseph Mallord William",artist,558,Ruins among Woods on the Bank of a River; Mountains (Perhaps the Brecon Beacons) Beyond,1798,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1798,1856,support: 131 x 95 mm,131,95,,mm,,,http://www.tate.org.uk/art/images/work/D/D01/D01513_8.jpg,http://www.tate.org.uk/art/artworks/turner-ruins-among-woods-on-the-bank-of-a-river-mountains-perhaps-the-brecon-beacons-d01513
30861,D03465,"Turner, Joseph Mallord William",artist,558,[blank],1801,,Accepted by the nation as part of the Turner Bequest 1856,1801,1856,support: 154 x 90 mm,154,90,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d03465
32276,D04884,"Turner, Joseph Mallord William",artist,558,"A Cascade; ?Gorges du Guiers Mort, Chartreuse",1802,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1802,1856,support: 725 x 555 mm,725,555,,mm,,,http://www.tate.org.uk/art/images/work/D/D04/D04884_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-cascade-gorges-du-guiers-mort-chartreuse-d04884
32451,D05059,"Turner, Joseph Mallord William",artist,558,[blank],c.1799-1805,,Accepted by the nation as part of the Turner Bequest 1856,1799,1856,support: 433 x 272 mm,433,272,,mm,,,http://www.tate.org.uk/art/images/work/D/D05/D05059_8.jpg,http://www.tate.org.uk/art/artworks/turner-blank-d05059
32683,D05291,"Turner, Joseph Mallord William",artist,558,Blank,1804,,Accepted by the nation as part of the Turner Bequest 1856,1804,1856,support: 166 x 112 mm,166,112,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d05291
32773,D05381,"Turner, Joseph Mallord William",artist,558,Blank,c.1805-6,,Accepted by the nation as part of the Turner Bequest 1856,1805,1856,support: 118 x 185 mm,118,185,,mm,,,http://www.tate.org.uk/art/images/work/D/D05/D05381_8.jpg,http://www.tate.org.uk/art/artworks/turner-blank-d05381
32999,D05607,"Turner, Joseph Mallord William",artist,558,Blank,1805,,Accepted by the nation as part of the Turner Bequest 1856,1805,1856,support: 258 x 150 mm,258,150,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d05607
